plotID,Plot,Province,Location,Latitude,Longitude,Elevation_m,Area,Area_10mm,DrySeasonDeficit_mm,AnnualPPT_mm,Shape,Description,Age
42,Sherman - Roca Calcarea - transecto,Colon,Provincia de ColÃ³n,9.3344,-79.9523,103,0,0,-514.3826,2864.626,transect,inventory,
43,Gigante - p40,Panama,Provincia de PanamÃ¡,9.09719,-79.8564,31,0,0,-529.2582,2326.817,40x40,inventory,
44,Howard - transecto,Panama,Provincia de PanamÃ¡,8.93803,-79.5975,40,0,0,-573.7228,1814.288,transect,inventory,
45,INA - Divisa - transecto,Herrera,Provincia de Herrera,8.13736,-80.6853,30.26,0,0,NULL,NULL,transect,inventory,
46,Isla Bastimentos - p40,Bocas del Toro,Provincia Bocas del Toro,9.30978,-82.1069,57,0,0,NULL,NULL,40x40,inventory,
47,Isla Bastimentos - transecto.1,Bocas del Toro,Provincia Bocas del Toro,9.29338,-82.1019,10,0,0,NULL,NULL,transect,inventory,
48,Isla Bastimentos - transecto.2,Bocas del Toro,Provincia Bocas del Toro,9.30242,-82.1029,39,0,0,NULL,NULL,transect,inventory,
49,Isla Colon - p40,Bocas del Toro,Provincia Bocas del Toro,9.39207,-82.2866,11,0,0,NULL,NULL,40x40,inventory,
50,Isla Colon-Finca Rose Mary - transecto.1,Bocas del Toro,Provincia Bocas del Toro,9.43743,-82.2805,8,0,0,NULL,NULL,transect,inventory,
51,Isla Colon-Finca Rose Mary - transecto.2,Bocas del Toro,Provincia Bocas del Toro,9.43564,-82.2835,10,0,0,NULL,NULL,transect,inventory,
52,Isla Galeta - transecto,Colon,Provincia de ColÃ³n,9.36914,-79.8581,15,0,0,-527.8855,2877.742,transect,inventory,
53,Isla Popa - transecto.1,Bocas del Toro,Provincia Bocas del Toro,9.22337,-82.1103,10,0,0,NULL,NULL,transect,inventory,
54,Isla Popa - transecto.2,Bocas del Toro,Provincia Bocas del Toro,9.22421,-82.1145,10,0,0,NULL,NULL,transect,inventory,
55,Nusagandi - transect.1,San Blas,Kuna Yala,9.31026,-78.985,440,0,0,NULL,NULL,transect,inventory,
56,Nusagandi - transect.2,San Blas,Kuna Yala,9.3023,-78.9872,448,0,0,NULL,NULL,transect,inventory,
57,Nusagandi - transect.3,San Blas,Kuna Yala,9.28296,-78.9703,412,0,0,NULL,NULL,transect,inventory,
58,Tonosi - Las Tablas - transecto,Los Santos,Provincia Los Santos,7.50311,-80.1162,50,0,0,NULL,NULL,transect,inventory,
59,Playa Venado - CaÃ±as - transecto,Los Santos,Provincia Los Santos,7.42161,-80.1696,25,0,0,NULL,NULL,transect,inventory,
60,Limites Parque Nac Chagres - transecto.1,Panama,Provincia de PanamÃ¡,9.26994,-79.432,783.61,0,0,-366.651,2866.505,transect,inventory,
61,Limites Parque Nac Chagres - transecto.2,Panama,Provincia de PanamÃ¡,9.25414,-79.4382,730.05,0,0,-396.1111,2872.029,transect,inventory,
62,Mocambo - transecto,Panama,Provincia de PanamÃ¡,9.06604,-79.5684,110,0,0,-578.7804,1987.912,transect,inventory,
63,Nva Providencia-RÃ­Â­o Palenque - transecto,Colon,Provincia de ColÃ³n,9.27206,-79.7969,56,0,0,-496.9384,2797.506,transect,inventory,
64,Paraiso - Cerro Luisa - p40.1,Panama,Provincia de PanamÃ¡,9.02582,-79.615,140,0,0,-578.6962,1956.149,40x40,inventory,
65,Paraiso - Cerro Luisa - p40.2,Panama,Provincia de PanamÃ¡,9.02988,-79.6165,70,0,0,-579.3218,1961.245,40x40,inventory,
66,Paraiso - transecto,Panama,Provincia de PanamÃ¡,9.02532,-79.6148,150,0,0,-578.6075,1955.509,transect,inventory,
67,Parque Metropolitano - transecto.1,Panama,Provincia de PanamÃ¡,8.99119,-79.5467,35,0,0,-574.9514,1871.484,transect,inventory,
68,Parque Metropolitano - transecto.2,Panama,Provincia de PanamÃ¡,8.99147,-79.5444,40,0,0,-574.867,1870.532,transect,inventory,
69,Parque Metropolitano - transecto.3,Panama,Provincia de PanamÃ¡,8.99534,-79.5491,90,0,0,-575.1573,1879.041,transect,inventory,
70,Parque Metropolitano - transecto.4,Panama,Provincia de PanamÃ¡,8.98489,-79.5466,20,0,0,-574.5993,1861.919,transect,inventory,
71,Parque Camino de Cruces - transecto,Panama,Provincia de PanamÃ¡,9.0091,-79.5455,25,0,0,-576.008,1896.315,transect,inventory,
72,Parq Nac Altos de Campana - p40.1,Panama,Provincia de PanamÃ¡,8.68288,-79.9281,863,0,0,-353.7572,2864.126,40x40,inventory,
73,Parq Nac Altos de Campana - p40.2,Panama,Provincia de PanamÃ¡,8.68347,-79.9249,832,0,0,-353.9401,2863.958,40x40,inventory,
74,Parq Nac Altos de Campana - transecto.1,Panama,Provincia de PanamÃ¡,8.68211,-79.9288,889,0,0,-353.6185,2864.263,transect,inventory,
75,Parq Nac Altos de Campana - transecto.2,Panama,Provincia de PanamÃ¡,8.68155,-79.9232,800,0,0,-353.9547,2864.23,transect,inventory,
76,Parq Nac Altos de Campana - transecto.3,Panama,Provincia de PanamÃ¡,8.68852,-79.9164,614,0,0,-355.7222,2862.713,transect,inventory,
77,Portobelo - Nuevo Tonosi - transecto,Colon,Provincia de ColÃ³n,9.54503,-79.6027,15,0,0,NULL,NULL,transect,inventory,
78,Portobelo - Rio More - transecto,Colon,Provincia de ColÃ³n,9.56596,-79.6534,5,0,0,NULL,NULL,transect,inventory,
79,Quebrada Lopez - transecto,Colon,Provincia de ColÃ³n,9.32444,-79.7995,49,0,0,-503.9465,2973.017,transect,inventory,
80,Rio Hato - parcelas,Cocle,Provincia de CoclÃƒÂ©,8.42722,-80.1232,85.9,0,0,NULL,NULL,NULL,inventory,
81,Sherman - Camino de Pinas - p40.1,Colon,Provincia de ColÃ³n,9.27975,-79.9829,101,0,0,-490.8979,2849.421,40x40,inventory,
82,Sherman - Camino de Pinas - p40.2,Colon,Provincia de ColÃ³n,9.2759,-79.9778,171,0,0,-490.1143,2846.59,40x40,inventory,
83,Sherman - Camino de Pinas - transecto.1,Colon,Provincia de ColÃ³n,9.27614,-79.9784,166,0,0,-490.1439,2846.837,transect,inventory,
84,Sherman - Camino de Pinas - transecto.2,Colon,Provincia de ColÃ³n,9.28074,-79.9775,169,0,0,-491.3851,2848.732,transect,inventory,
85,Santa Rita - p40.1,Colon,Provincia de ColÃ³n,9.35822,-79.7481,230,0,0,-457.701,3224.94,40x40,inventory,
86,Santa Rita - p40.2,Colon,Provincia de ColÃ³n,9.34058,-79.7726,215,0,0,-480.224,3094.088,40x40,inventory,
87,Santa Rita - transecto,Colon,Provincia de ColÃ³n,9.35489,-79.7511,227,0,0,-461.2441,3206.802,transect,inventory,
88,Santa Rita - p40,Colon,Provincia de ColÃ³n,9.3561,-79.7266,340,0,0,-426.0377,3281.505,40x40,inventory,
89,Santa Rita - Sierra - transecto,Colon,Provincia de ColÃ³n,9.34195,-79.7723,205,0,0,-481.1225,3097.543,transect,inventory,
90,Santa Rita - Torres - transecto,Colon,Provincia de ColÃ³n,9.32393,-79.7787,220,0,0,-484.1819,3036.202,transect,inventory,
91,Sendero El Charco - p40.1,Panama,Provincia de PanamÃ¡,9.0895,-79.6733,95,0,0,-578.7344,2064.476,40x40,inventory,
92,Sendero El Charco - p40.2,Panama,Provincia de PanamÃ¡,9.09052,-79.6725,120,0,0,-578.4766,2066.14,40x40,inventory,
93,Sendero El Charco - p40.3,Panama,Provincia de PanamÃ¡,9.08335,-79.6668,100,0,0,-579.2258,2050.646,40x40,inventory,
94,Sendero El Charco - p40.4,Panama,Provincia de PanamÃ¡,9.08396,-79.6639,85,0,0,-579.4073,2050.557,40x40,inventory,
95,Sendero El Charco - p40.5,Panama,Provincia de PanamÃ¡,9.08455,-79.6624,90,0,0,-579.379,2051.028,40x40,inventory,
96,Sendero El Charco - p1ha,Panama,Provincia de PanamÃ¡,9.08734,-79.6619,140,0,0,-578.8167,2056.033,100x100,inventory,
97,Sendero El Charco - transecto,Panama,Provincia de PanamÃ¡,9.08691,-79.6619,120,0,0,-579.0234,2055.217,transect,inventory,
98,Plot 32,Colon,Santa Rita,9.35583,-79.7269,363,1,0.16,-422.4309,3280.459,100x100,Trees >10 cm dbh were censused,
99,P01,Colon,Sherman,9.33253,-79.9541,20,1,0.16,-513.7359,2864.47,100x100,NULL,2
100,P02,Colon,Sherman,9.32296,-79.9621,100,1,0.16,-508.8091,2863.198,100x100,NULL,3
101,P03,Colon,Camino Achiote Norte,9.26033,-79.956,180,1,0.16,-488.4055,2832.388,100x100,NULL,1
102,P04,Colon,Camino Achiote Sur,9.25802,-79.9529,180,1,0.16,-488.2711,2829.941,100x100,NULL,
103,P05,Colon,Gamboa,9.15682,-79.7517,40,1,0.16,-549.6093,2325.043,100x100,NULL,
104,P06,Colon,"Gamboa, Limbo Bridge",9.1565,-79.7442,30,1,0.16,-552.9124,2311.032,100x100,NULL,
105,P07,Colon,"Gamboa, Limbo Bridge",9.16093,-79.7427,60,1,0.16,-551.0322,2323.346,100x100,NULL,
106,P08,Colon,Gamboa,9.1683,-79.7464,180,1,0.16,-542.7587,2352.036,100x100,NULL,
107,P09,Colon,Gamboa,9.16878,-79.7407,160,1,0.16,-545.4462,2344.683,100x100,NULL,
108,P10,Panama,Sendero Maiz - Pena Blanca - BCI Monument,9.14462,-79.8587,90,1,0.16,-515.6272,2563.594,100x100,NULL,
109,P11,Panama,Parcela Wetmore - BCI,9.14491,-79.8779,60,1,0.16,-511.8325,2601.581,100x100,NULL,
110,P12,Colon,Buena Vista - BCI,9.17936,-79.8296,10,1,0.16,-510.4701,2595.041,100x100,NULL,
111,P13,Colon,Buena Vista - BCI,9.18788,-79.821,55,1,0.16,-509.4434,2590.691,100x100,NULL,
112,P14,Panama,Standley - BCI,9.15824,-79.8612,60,1,0.16,-510.5661,2615.563,100x100,NULL,
113,P15,Colon,Gamboa - LImbo River - Pipeline Road,9.16176,-79.7453,70,1,0.16,-549.4229,2330.068,100x100,NULL,
114,P16,Colon,Gamboa - Pipeline Road,9.14674,-79.7125,160,1,0.16,-562.8018,2247.666,100x100,NULL,
115,P17,Colon,Gamboa - Pipeline Road,9.15181,-79.7158,120,1,0.16,-561.4541,2267.072,100x100,NULL,
116,P18,Panama,Sendero Maiz - Pena Blanca - BCI Monument,9.14346,-79.8825,58,1,0.16,-511.5076,2603.161,100x100,NULL,
117,P19,Colon,Gamboa - before Agua Salud River,9.19917,-79.7741,160,1,0.16,-518.5465,2491.3,100x100,NULL,
118,P20,Colon,Gamboa - Agua Salud River,9.19028,-79.7643,160,1,0.16,-526.2243,2446.097,100x100,NULL,
119,P21,Colon,Gamboa,9.14149,-79.6935,110,1,0.16,-569.3649,2225.681,100x100,NULL,
120,P22,Colon,Gamboa,9.14787,-79.6931,180,1,0.16,-566.0151,2249.859,100x100,NULL,
121,P23,Panama,Camino de Cruces,9.1217,-79.6731,30,1,0.16,-576.5254,2153.039,100x100,NULL,
122,P24,Panama,Camino de Cruces,9.12372,-79.6767,50,1,0.16,-575.722,2160.08,100x100,NULL,
123,P25,Panama,"La Laguna, Paja River",9.07852,-79.7989,110,1,0.16,-553.6183,2176.944,100x100,NULL,
124,P26,Panama,"La Laguna, Paja River",9.07646,-79.7869,50,1,0.16,-559.0947,2153.463,100x100,NULL,
125,P27,Panama,Semaforo Hill Plantation Loop,9.08048,-79.6451,180,1,0.16,-578.9851,2037.29,100x100,NULL,
126,P28,Panama,Semaforo Hill Plantation Loop,9.08652,-79.6424,160,1,0.16,-579.0089,2048.103,100x100,NULL,
127,P29,Panama,Cocoli,8.98591,-79.6384,100,1,0.16,-577.9528,1922.773,100x100,NULL,
128,P30,Panama,Cocoli,8.99585,-79.6425,180,1,0.16,-578.0576,1938.041,100x100,NULL,
129,P33,Colon,Santa Rita,9.39101,-79.6556,600,0.32,0,-359.0137,3234.25,40x80,NULL,
130,P34,Panama,Cerro Mauro - Santa Librada,9.41848,-79.5392,210,0.32,0,-354.477,3344.316,40x80,NULL,
131,P35,Colon,Altos de Chagres - Cerro Bruja,9.45961,-79.5738,830,0.32,0,-298.0432,3375.673,40x80,NULL,
132,P36,Panama,San Juan de Pequeni,9.39658,-79.5265,200,0.32,0,-370.8055,3268.963,40x80,NULL,
133,P37,Panama,Cerro Brewster,9.31929,-79.2868,600,0.32,0,-245.1713,3758.962,40x80,NULL,
134,P38,Panama,Alto de Chutral,8.70954,-80.0845,810,0.32,0,-354.1026,2862.778,40x80,NULL,
135,P39,Panama,Cerro Negro,8.73808,-80.0803,660,0.32,0,-359.6185,2848.137,40x80,NULL,
136,P40,Panama,Chagres National Park - Quebrada Las Pavas,9.28448,-79.4504,160,0.32,0,-503.233,2805.375,40x80,NULL,
137,P41,Panama,Chagres National Park - Chagres River,9.28826,-79.4156,280,0.32,0,-459.2798,2910.619,40x80,NULL,
138,achotines,Los Santos,Province of Los Santos,7.38668,-80.1676,0,1,0.16,NULL,NULL,100x100,CTFS grant by Rolando PÃ©rez,
139,campochagres,Panama,Province of Panama,9.21146,-79.5998,109,1,0.16,-570.7881,2481.238,100x100,CTFS grant by Rolando PÃ©rez,
140,caritas,Panama,"Cruces, Province of Panama",9.08519,-79.6077,155,1,0.16,-579.1005,2037.925,100x100,CTFS grant by Rolando PÃ©rez,
141,cerrogalera,Panama,"Howard, Province of Panama",8.9267,-79.6232,64,1,0.16,-573.9794,1810.324,100x100,CTFS grant by Rolando PÃ©rez,
142,cerrolatorre,Panama,"Howard, Province of Panama",8.91182,-79.5868,300,1,0.16,-571.688,1756.415,100x100,CTFS grant by Rolando PÃ©rez,
