"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","dbh","hom","ExactDate","DFstatus","codes","date","status","agb","plot","census","plotID"
454406,961788,"014285","","oenoma","1735",353.9,715.9,NA,NA,NA,NA,NA,17615.0606060606,"V",0,"gigante2",5,157
454469,961789,"014348","","oenoma","1736",356.4,729.3,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454476,961790,"014355","","oenoma","1736",357.2,724.7,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454493,961791,"014372","1","xyl1ma","1737",346.2,758.4,NA,NA,NA,NA,NA,17618,"P",0,"gigante2",5,157
454506,961792,"014385","","pipecu","1737",353.3,754,33,1.3,"2008-03-27","alive",NA,17618,"A",0.00142162559051167,"gigante2",5,157
454557,961793,"014606","","oenoma","1838",376.8,760.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454576,961794,"014625","","gustsu","1739",345.3,791.9,154,1.3,"2008-11-28","alive","M",17864,"A",0.121863553311906,"gigante2",5,157
454589,961795,"014662","","oenoma","1935",392.4,706.8,NA,NA,NA,NA,NA,17619,"V",0,"gigante2",5,157
454593,961796,"014666","","oenoma","1936",388.4,723.5,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454594,961797,"014667","","oenoma","1936",392.4,724.5,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454597,961798,"014670","","oenoma","1936",394.4,734.8,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454607,961799,"014680","","oenoma","1937",389.3,754.7,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454610,961800,"014683","","oenoma","1937",394.8,745.3,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454612,961801,"014685","","oenoma","1937",399.8,749.7,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454623,961802,"014696","2","sloazu","1939",387.5,793,NA,NA,NA,NA,NA,17622,"P",0,"gigante2",5,157
454629,961803,"014702","","oenoma","1939",399.2,799.6,103,1.3,"2008-03-31","alive","M",17622,"A",0.051500632244161,"gigante2",5,157
453845,968674,"001295","","coccpa","1938",386,772.7,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
453941,968675,"005551","","oenoma","1636",320.9,728.6,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453949,968676,"005559","","oenoma","1636",330.6,737.9,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453952,968677,"005562","","oenoma","1637",324.2,740.6,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453955,968678,"005565","","oenoma","1637",320.2,752.1,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453956,968679,"005566","","oenoma","1637",321.4,758.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
